Price,No_rooms,No_bathrooms,Area,Adress,Colony,Type
35000,3,1,160,Fraccionamiento Jardines Del Country,Guadalajara,House
16500,3,2,105,Bosques de San Isidro,Zapopan,House
25000,8,3,174,Guadalajara Centro,Guadalajara,House
12000,3,3,80,Fraccionamiento Parques de Tesistán,Zapopan,House
14500,3,2,120,Girasoles Elite,Zapopan,House
80000,3,3,744,Puerta de Hierro,Zapopan,House
20000,7,4,172,Barrio El Retiro,Guadalajara,House
12000,3,3,105,Bosques de Santa Anita,Tlajomulco de Zúñiga,House
79800,5,5,800,Jardines de Guadalupe,Guadalajara,House
131000,4,4,1000,Lomas del Valle,Zapopan,House
25000,4,2,250,Paseos del Sol,Zapopan,House
12000,3,2,108,Santa Ana Tepetitlán,Zapopan,House
50000,8,7,360,Providencia,Guadalajara,House
150000,4,3,850,Fraccionamiento Colomos Providencia,Guadalajara,House
11000,3,2,140,Girasoles Acueducto,Zapopan,House
21000,4,3,300,Fraccionamiento Jardines Del Country,Guadalajara,House
28000,3,2,190,Las Cañadas,Zapopan,House
14000,3,1,83,Natura Bosque Residencial,Zapopan,House
12200,3,2,97,Zapopan Centro,Zapopan,House
30000,3,,298,Bosques Vallarta,Zapopan,House
48000,4,4,550,Fraccionamiento Valle Imperial,Zapopan,House
24500,4,3,150,San Agustín,Tlajomulco de Zúñiga,House
130000,3,4,423,Fraccionamiento Colomos Providencia,Guadalajara,House
30000,3,3,564,Lomas de Santa Anita,Tlajomulco de Zúñiga,House
16300,3,2,148,Jardines Del Sur,Guadalajara,House
10500,3,2,107,Adamar,Tlajomulco de Zúñiga,House
20500,3,3,130,Fraccionamiento Jardines Vallarta,Zapopan,House
58000,5,4,478,Los Pinos,Zapopan,House
40000,4,4,198,Chapalita,Guadalajara,House
7000,4,3,80,Fraccionamiento Parques de Tesistán,Zapopan,House
25000,4,3,220,Vallarta Poniente,Guadalajara,House
45500,3,4,300,Valle Real,Zapopan,House
48000,6,3,301,Monraz,Guadalajara,House
15000,3,2,123,Fraccionamiento Nueva Galicia Residencial,Tlajomulco de Zúñiga,House
13500,3,2,120,Alta California Residencial,Tlajomulco de Zúñiga,House
45000,1,3,364,Fraccionamiento Arauca,Zapopan,House
14500,3,2,120,San Isidro,Zapopan,House
28500,3,4,140,Punto Sur,Tlajomulco de Zúñiga,House
45200,3,4,300,Villa Universitaria,Zapopan,House
55000,3,4,300,Valle Real,Zapopan,House
14000,3,3,154,San Isidro,Zapopan,House
21000,4,4,319,Casa Fuerte,Tlajomulco de Zúñiga,House
14500,3,3,90,El Fortín,Zapopan,House
38000,4,4,300,Ciudad Bugambilia,Zapopan,House
61000,4,7,1350,Fraccionamiento Bugambilias,Zapopan,House
28000,5,5,152,Fraccionamiento Solares,Zapopan,House
13500,3,2,95,El Tigre,Zapopan,House
17800,3,2,166,Fraccionamiento Valle Imperial,Zapopan,House
18800,3,3,99,Guadalupe 2a Sección,Zapopan,House
79000,5,5,615,Chapalita Oriente,Zapopan,House
55000,4,4,333,Royal Country,Zapopan,House
80000,4,4,400,Fraccionamiento Arauca,Zapopan,House
160000,4,6,453,Fraccionamiento Puerta Las Lomas,Zapopan,House
43000,3,3,474,Puertas Del Tule,Zapopan,House
45000,3,3,1410,El Palomar,Tlajomulco de Zúñiga,House
60000,4,4,912,Rinconada Santa Anita,Tlajomulco de Zúñiga,House
13000,2,1,65,Fraccionamiento Residencial Moctezuma,Zapopan,House
18200,4,3,125,Fraccionamiento Real de Valdepeñas,Zapopan,House
18000,3,2,160,Fraccionamiento Valle Imperial,Zapopan,House
7000,1,,101,Alameda,Tlajomulco de Zúñiga,House
9800,3,3,80,Fraccionamiento Real Del Bosque,Zapopan,House
11000,2,2,90,Independencia,Guadalajara,House
12000,3,2,85,Villas de Zapopan,Zapopan,House
29900,4,3,202,Chapalita,Guadalajara,House
7500,2,1,125,Vista Sur Residencial,Tlajomulco de Zúñiga,House
38000,3,4,305,Residencial Provenza,Tlajomulco de Zúñiga,House
30000,4,3,150,Los Gavilanes Poniente,Tlajomulco de Zúñiga,House
13500,3,2,120,San Agustín,Tlajomulco de Zúñiga,House
18500,3,3,135,Volcán Del Colli,Zapopan,House
32000,4,4,143,Santillana,Zapopan,House
13000,1,2,219,El Fortín,Zapopan,House
8000,3,1,81,La Moraleja,Zapopan,House
120000,3,4,551,Valle Real,Zapopan,House
165000,5,6,386,Fraccionamiento Puerta Las Lomas,Zapopan,House
42000,3,2,261,El Bajío,Zapopan,House
125000,5,5,1019,Puerta de Hierro,Zapopan,House
49900,4,4,282,Providencia,Guadalajara,House
40000,4,2,400,Americana,Guadalajara,House
35000,3,4,355,El Palomar,Tlajomulco de Zúñiga,House
150000,6,6,620,Cielo Contry Club,Tlajomulco de Zúñiga,House
42000,3,3,200,Lomas del Valle,Zapopan,House
19500,3,2,160,Fraccionamiento La Cima,Zapopan,House
5800,3,2,60,Fraccionamiento Los Molinos,Zapopan,House
